date,source,description,amount
2025-09-23,"Square Checking",Platetovin,5.00
2025-09-24,"Square Checking","Pdx Smash Burger",14.40
2025-09-24,"Square Checking","Stop & Shop",30.00
2025-09-24,"Square Checking","Swan Mart",28.74
2025-09-25,"Square Checking","Lime Pass",6.99
2025-09-26,"Square Checking",Maxai.me,30.00
2025-09-26,"Square Checking",Runpod.io,10.00
2025-09-28,"Square Checking","Dlr As.com Stripe",10.90
2025-09-28,"Square Checking",Google,19.99
2025-09-29,"Square Checking","Lime Pass",6.99
2025-10-06,"Square Checking","Cline Bot Inc",10.85
2025-10-06,"Square Checking","Cline Bot Inc",10.85
2025-10-06,"Square Checking","Vancouver Mall F",11.67
2025-10-12,"Square Checking","Cursor, Ai Powered Ide",60.00
2025-10-14,"Square Checking","Quick Zone",43.37
2025-10-15,"Square Checking","2 Activities",3.27
2025-10-20,"Square Checking","24 Hour Fitness USA, I",16.00
2025-10-20,"Square Checking","2 Activities",3.93
2025-10-21,"Square Checking","Baxter Auto Parts B6",15.99
2025-10-23,"Square Checking","Character AI C",9.99
2025-10-26,"Square Checking",Maxai.me,30.00
2025-11-02,"Square Checking",GSUITE_wkroads,37.20
2025-11-04,"Square Checking","Marathon Taverna",9.00
2025-11-09,"Square Checking","Us Market",10.00
2025-11-09,"Square Checking","Us Market",8.77
2025-11-26,"Square Checking","Dicks Hillsboro Honda",9.85
2025-11-27,"Square Checking","Market N 3",6.38
2025-11-30,"Square Checking","Alldata.com Diy Faq",15.99
2025-12-16,"Square Checking","Baxter Auto Parts B6",2.99
2025-12-16,"Square Checking","Carls Jr Restaurants 8",14.44
2025-12-17,"Square Checking","Stop & Shop",40.00
2025-12-18,"Square Checking","Ed's Market",8.97
2025-12-18,"Square Checking","Alpine 24 Hour Laundro",10.00
2025-12-24,"Square Checking",Store,8.00
2025-12-25,"Square Checking","Carls Jr Restaurants 8",7.68
2026-01-03,"Square Checking","Sylvan Stop Go",13.35
2026-01-05,"Square Checking","82nd Market",23.06
2026-01-10,"Square Checking","Pdx Market & Ga",30.00
2026-01-10,"Square Checking","Goodwill Of Lombard",44.95
2026-01-11,"Square Checking","Pdx Market & Gas",12.38
2026-01-11,"Square Checking",Con,14.57
2026-01-31,"Square Checking","New Seasons Market",25.18
2026-02-13,"Square Checking","Lime Ride",9.50
2026-02-19,"Square Checking","Lime Ride",9.25
2026-02-26,"Square Checking",Marathon,8.01
2026-03-14,"Square Checking","Sylvan Stop Go",23.04
2026-03-16,"Square Checking",Myclaw.ai,19.00
2026-03-17,"Square Checking",Arby's,13.48
2026-03-20,"Square Checking","2 Activities",9.25
2026-03-27,"Square Checking","Crazy For Pizza",16.70
2026-03-29,"Square Checking",Myclaw.ai,10.00
2026-04-04,"Square Checking",Google,1.99
2026-04-07,"Square Checking","Face Plant",3.49
2026-04-14,"Square Checking","Huynh Ba Corpora",26.58
2026-04-14,"Square Checking","Quick Zone",15.00
2026-04-16,"Square Checking","Coca Cola Wilsonville",3.85
2026-04-16,"Square Checking",KFC,6.00
2026-04-22,"Square Checking","Us Market",20.00
2026-04-23,"Square Checking","Stop & Shop",5.00
2026-04-23,"Square Checking","Carls Jr Restaurants 7",20.73
2026-04-27,"Square Checking","Speedy Market & Deli",25.80
2026-05-03,"Square Checking","Ctlp Csc Serviceworks",3.00
2026-05-04,"Square Checking",Google,1.99
2026-05-10,"Square Checking","Goodwill Of Broadway",52.01
2026-05-14,"Square Checking",Arby's,13.59
2026-05-23,"Square Checking","Goodwill Of Broadway",58.23
2026-05-26,"Square Checking","Vcn Californiavitals",41.95
2026-06-04,"Square Checking",Google,1.99
2026-06-08,"Square Checking","Friendly Food",34.90
2026-06-15,"Square Checking",Goodwill,27.86
2026-06-24,"Square Checking","Lombard Market",11.00
2026-07-01,"Square Checking",Triumph,5.00
2026-07-05,"Square Checking","Google One",1.99
2026-07-06,"Square Checking","Tnt Market",9.40
2026-07-12,"Square Checking",Walgreens,17.46
2026-07-12,"Square Checking",Con,6.58
